source,topic,question,answer,type,cert
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Muscle balance,"When all muscles surrounding a joint have optimal length-tension relationships, allowing the joint to rest in a neutral position.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Muscle synergies,Groups of muscles that are recruited simultaneously by the central nervous system to provide movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Neuromuscular efficiency,"The ability of the nervous system to recruit the correct muscles to produce force, reduce force, and dynamically stabilize the body’s structure in all three planes of motion.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Neutral position,The optimal resting position of a joint that allows it to function efficiently through its entire normal range of motion.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Plantar flexion,Extension occurring at the ankle. Pointing the foot downwards.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Pronation of the foot,"Multiplanar movement of the foot and ankle complex consisting of eversion, dorsiflexion, and ankle abduction; associated with force reduction.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Radioulnar pronation,Inward rotation of the forearm from a palm-up position to a palm-down position.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Radioulnar supination,Outward rotation of the forearm from a palm-down position to a palm-up position.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Reciprocal inhibition,"When an agonist receives a signal to contract, its functional antagonist also receives an inhibitory signal allowing it to lengthen.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Regional interdependence model,The concept describing the integrated functioning of multiple body systems or regions of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Rotary motion,Movement of the bones around the joints.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Sagittal plane,An imaginary bisector that divides the body into left and right halves.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Scapular depression,Downward (inferior) motion of the scapulae.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Scapular elevation,Upward (superior) motion of the scapulae.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Scapular protraction,Abduction of scapulae; shoulder blades move away from the midline.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Scapular retraction,Adduction of scapulae; shoulder blades move toward the midline.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Sensorimotor integration,Cooperation of the nervous and muscular system in gathering and interpreting information and executing movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Series elastic component,Springlike noncontractile component of muscle and tendon that stores elastic energy.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Stabilizers,Muscles that contract isometrically to stabilize the trunk and joints as the body moves.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Stretch reflex,Neurological signal from the muscle spindle that causes a muscle to contract to prevent excessive lengthening.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Stretch-shortening cycle,Loading of a muscle eccentrically to prepare it for a rapid concentric contraction.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Supination of the foot,"Multiplanar movement of the foot and ankle complex consisting of inversion, plantar flexion, and ankle adduction; associated with force production.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Synergists,Muscles that assist agonists to produce a movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Tendon,A fibrous connective tissue that connects muscle to bone.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Torque,A force that produces rotation; common unit of measurement is the Newton meter (Nm).,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 07,Human Movement Science,Transverse plane,An imaginary bisector that divides the body into top and bottom halves.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Acetyl coenzyme A,Produced by the breakdown of carbohydrates through glycolysis and by the fatty acids through beta-oxidation and is the precursor for these substrates to the citric acid cycle.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Adenosine diphosphate (ADP),A high-energy compound occurring in all cells from which adenosine triphosphate is formed.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Aerobic,"Processes relating to, involving, or requiring oxygen.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Anaerobic,Processes relating to the absence of oxygen.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,ATP-PC System,"An energy system that provides energy very rapidly, for approximately 10–15 seconds, via anaerobic metabolism.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Beta-oxidation,The first step in the process to break down fats via oxidative phosphorylation.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Bioenergetics,The study of energy in the human body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Deamination,The breakdown of amino acids into substrates that can be used for energy metabolism.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Electron transport chain (ETC),A series of protein complexes that transfer protons and electrons received from the citric acid cycle through a series of reactions to create adenosine triphosphate.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Essential amino acid (EAA),Amino acid that must be obtained through the diet as the body does not make it; there are nine essential amino acids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Excess postexercise oxygen consumption (EPOC),The state in which the body’s metabolism is elevated after exercise.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Exercise activity thermogenesis (EAT),The calories expended through structured exercise or training.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Exercise metabolism,The examination of bioenergetics as it relates to the unique physiologic changes and demands placed on the body during exercise.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Exogenous ketones,Isolated ketone bodies usually consumed in supplement form.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Fats,"One of the three main classes of foods and a source of energy in the body. Fats help the body use some vitamins and keep the skin healthy. They also serve as energy stores for the body. In food, there are two types of fats: saturated and unsaturated.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,First law of thermodynamics,Energy cannot be created or destroyed but merely converted from one form to another.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Free fatty acids,"The by-products of the breakdown of stored or consumed fats, metabolized exclusively via the aerobic pathway, which uses oxygen to create adenosine triphosphate.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Glycolysis,A metabolic process that occurs in the cytosol of a cell that converts glucose into pyruvate and adenosine triphosphate. Anaerobic glycolysis refers to when this process occurs in the absence of oxygen.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Ketoacidosis,Metabolic acidosis induced by very high levels of ketone bodies such as seen in type 1 diabetes or severe insulin resistance.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Ketogenesis,"The formation of ketone bodies from nonfat sources, such as certain amino acids.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Ketone bodies,Water-soluble molecules produced in the liver as a result of fatty acid oxidation. They can then be oxidized in the mitochondria to produce adenosine triphosphate.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Ketosis,A state of carbohydrate depletion where the liver manufactures ketone bodies to meet energy demands that free fatty acid oxidation cannot support.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Kilocalorie (kcal),"One food calorie. Also, the amount of energy needed to raise one kilogram of water by one degree Celsius.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Macronutrients,"Food substances required in large amounts to supply energy and include protein, carbohydrate, and fat.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Mechanical work,"The physical processes that move the body and keep it alive, such as muscle contraction.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Metabolic equivalent (MET),A measurement used to describe the energy cost of physical activity as multiples of resting metabolic rate. One MET is 3.5 mL of oxygen consumption per kilogram per minute.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Metabolism,All of the chemical reactions that occur in the body to maintain itself.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Negative energy balance,When calorie intake is lower than the number of calories expended.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Nonessential amino acids,"Amino acids that can be synthesized by the body and do not, under normal circumstances, need to be obtained in the diet.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Nonexercise activity thermogenesis (NEAT),"Energy expenditure through daily activities outside of structured exercise, such as walking, completing household chores, and taking the stairs.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Oxidative phosphorylation,A series of reactions inside the mitochondria that uses oxygen to produce adenosine triphosphate.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Phosphorylation,"The addition of a phosphate group to a molecule, such as in the transfer of a phosphate group to adenosine diphosphate to create adenosine triphosphate.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Physical activity level (PAL),The number of calories a person expends through physical activity and structured exercise.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Protein,Amino acids linked by peptide bonds; the building blocks of body tissues.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Resting metabolic rate (RMR),"The rate at which the body expends energy (calories) when fasted and at complete rest, such as asleep or lying quietly.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Steady-state aerobic exercise,"Aerobic exercise that remains at a relatively constant intensity, including a stable heart rate and oxygen consumption.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Thermic effect of food (TEF),"The energy required to digest, absorb, and process nutrients that are consumed.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Total daily energy expenditure (TDEE),The total amount of energy expended in one day.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Triglyceride,The chemical or substrate form in which most fat exists in food as well as in the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Ventilatory threshold 1 (VT1),The point at which the body uses an equal mix of carbohydrate and fat as fuel sources.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 08,Exercise Metabolism and Bioenergetics,Ventilatory threshold 2 (VT2),The point where glucose provides nearly all of the energy for the activity.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Acceptable macronutrient distribution range (AMDR),Ranges of intake for nutrients that are estimated to meet the needs of 97–98% of the population and that are associated with a reduced risk of chronic disease. AMDRs are established by the National Academy of Medicine.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Adaptive thermogenesis,Metabolic adaptations and changes in energy expenditure as a result of changes in energy intake.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Added sugars,Sugars that are not naturally found in food but have been added to a food product.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Adipose tissue,"An alternative term for fat, used primarily to store energy.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Amino acids,Organic building blocks of proteins containing both a carboxyl and an amino group.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Biological value (BV),A reference amount used to describe the extent to which the amino acids in a protein source are absorbed.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Carbohydrates,"Compounds composed of carbon, hydrogen, and oxygen molecules that include simple sugars, complex carbohydrates, glycogen, and fiber.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,CDN,Certified Dietitian Nutritionist: state certified dietitian/nutritionist.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Chylomicrons,"Molecules of fat that contain triglycerides, phospholipids, cholesterol, fat-soluble vitamins, and protein. They are formed by intestinal cells after the digestion of lipid-containing foods.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Complete protein,A protein source that provides all essential amino acids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Complex carbohydrates,"Polysaccharides; long chains of simple sugars. Examples include whole grains, legumes, and vegetables.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Cushing's syndrome,A hormone disorder that causes abnormally high levels of cortisol in the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Disaccharides,"Two monosaccharides joined together to form a simple sugar. The three disaccharides of nutritional importance include lactose, sucrose, and maltose.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Endocrine (hormonal) disorders,When the body produces too little or too much of an endocrine hormone.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Enterocyte,Intestinal cells that absorb nutrients.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Fiber,"An indigestible carbohydrate present in plant foods, such as fruit, vegetables, and legumes.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Ghrelin,The hunger hormone that stimulates appetite.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Glycemic index (GI),Number (0–100) assigned to a food source that represents the rise in blood sugar after consuming the food.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Glycemic load (GL),Similar to glycemic index but takes into account the amount of food (carbohydrate) eaten.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Heat exhaustion,"A condition that occurs when the body becomes overheated. It can occur from dehydration in a hot climate, and symptoms include heavy sweating, rapid pulse, low blood pressure, nausea, dizziness, and muscle cramps.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Heatstroke,"A condition that can develop if heat exhaustion is not treated quickly. Heatstroke symptoms include headache, fever, confusion and disorientation, and flushed skin. Heatstroke is a medical emergency and can be fatal if not quickly treated.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,High biological value (HBV) proteins,Foods containing all the essential amino acids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Hypertonic,A solution with a higher solute load/concentration than body fluids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Hypertrophy,"Enlargement of an organ or tissue; in the context of fitness, it is often used to describe the enlargement of skeletal muscle.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Hypothyroidism,"Low activity of the thyroid gland that can disrupt heart rate, body temperature, and metabolism.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Hypotonic,A solution with a lower solute load/concentration than body fluids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Incomplete protein,A protein that lacks one or more of the amino acids required to build cells.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Ingredients list,"A list of all included ingredients in a food product, in descending order of amount by weight, on a food label.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Isotonic,A solution with a similar solute load/concentration as body fluids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Lingual lipase,An enzyme in saliva that begins the process of lipid digestion in the mouth.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Lipase,Enzyme that digests lipids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Lipids,"Group of fats/fatty acids and their derivatives, including triglycerides, phospholipids, and sterols.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Lipoprotein lipase (LPL),An enzyme that breaks down triglycerides into fatty acids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Lipoprotein,A group of soluble proteins that combine with and transport fat or other lipids in the blood plasma.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Low biological value (LBV) proteins,Foods missing one or more of the essential amino acids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Major minerals,Minerals present in the body in larger amounts.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Metabolites,The formation of a substance required for metabolism.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Micronutrients,"Vitamins, minerals, and phytonutrients. These are nonenergy yielding nutrients that have important regulatory functions in metabolic pathways.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Minerals,"Inorganic, natural substances, some of which are essential in human nutrition. There are two kinds of minerals: major minerals (aka, macrominerals) and trace minerals.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Monosaccharides,"Simplest form of carbohydrate; single sugar molecules (e.g., glucose).",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Muscle protein synthesis,Process by which new muscle proteins are formed and a muscle grows or repairs at the molecular level.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Mutual supplementation,Combination of two incomplete protein sources that together provide all of the essential amino acids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Net protein utilization (NPU),The ratio of amino acid mass turned into proteins compared to the total amino acid mass consumed in the diet.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Nutrition claim,Claim that a food has a specific nutritional property or provides a specific benefit.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Nutrition facts panel,"Label on food products that provides information on the nutrient content of the food. Lists servings per container, serving size, and the amount of specific nutrients.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Nutrition,"A process of obtaining nutrients through food and/or food products to support energy requirements and cellular processes, including growth, repair and maintenance of tissues, reproduction, digestive processes, and respiration.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Omnivorous diet,A diet that consists of both animals and plants.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Pancreatic enzymes,"Digestive enzymes produced by the body to help digest fats, starches, and proteins.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Peptide bond,A chemical bond that connects two amino acids.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Peptide YY,Called peptide tyrosine and is a peptide that is released in the colon during feeding.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Percent daily value (%DV),"A reference value on the nutrition label that indicates what percentage of the recommended daily value for a nutrient is met by the specified serving size of a food product, based on a 2,000-calorie diet.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Percent reference intake (% RI),Used on food labels in the United Kingdom and the European Union. It is a reference value that indicates what percentage of the recommend amount of a nutrient is met by the specified amount (100 g or 100 mL) of the food product.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Phospholipids,"Type of lipid (fat) comprised of glycerol, two fatty acid chains, and a phosphate group.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Polycystic ovarian syndrome (PCOS),"A hormone disorder that occurs in women of childbearing age that causes irregular periods, excess levels of the male hormone androgen, small cysts on the outer edges of the ovaries, and obesity.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Polysaccharides,A type of carbohydrate composed of long chains of glucose units; starch and glycogen are examples of polysaccharides.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Protein digestibility– corrected amino acid score (PDCAAS),A measure for evaluating a protein source based on the composition of amino acids and its digestibility.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Protein efficiency ratio (PER),"A measure of assessing proteins, based on the amount of weight gained by a test subject divided by the amount of intake of a protein food.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Protein quality,Refers to the amino acid profile and the digestibility of a protein source.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Protein turnover,A process in which the body breaks down existing proteins and recycles the component amino acids for incorporation into new proteins or other nitrogen-containing compounds.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Recommended dietary allowance (RDA),The recommended amount of a nutrient that meets the needs of most healthy individuals within specific age and gender groups.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Satiating,Satisfying; feeling of fullness.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Saturated fat,"A type of triglyceride; chemical structure has no double bonds (points of unsaturation); usually solid at room temperature. Examples: butter, lard, whole milk, beef, processed meats, and tropical oils.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Scope of practice,The actions that a professional is permitted to undertake in keeping with the terms of their license or certification.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Serving size,A reference amount based on the quantity of the product consumers are thought to typically consume at one sitting.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Simple sugars,Include the monosaccharides and disaccharides; easily absorbed into the bloodstream.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Sports drink,"Drink with a combination of carbohydrate and/or electrolytes used for rehydration and carbohydrate replenishment during physical activity; may be isotonic, hypotonic, or hypertonic.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Starch,Storage form of carbohydrate in plants.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Sterols,A group of lipids with a ringlike structure. Cholesterol is a type of sterol.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Trace minerals,"Minerals present in small amounts in the body. They include iron, zinc, copper, selenium, iodine, manganese, chromium, fluoride, and molybdenum.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Triglycerides,The chemical or substrate form in which most fat exists in food as well as in the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Unsaturated fats,Fatty acids with one or more points of unsaturation (double bond) in their chemical structure.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 09,Nutrition,Vitamins,Group of organic compounds required in small quantities in the diet to support growth and metabolic processes.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Active ingredient,Any component of a dietary supplement included for the purpose of causing a physiologic effect; displayed on the main body of the supplement facts panel.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Adrenaline,"Hormone, also known as epinephrine, that excites bodily processes, increasing alertness and cell metabolism.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Adverse effect,"Any unfavorable medical occurrence associated with the use of a medication, medical intervention, or dietary supplement.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Alpha-linolenic acid (ALA),"One type of omega-3 fatty acid found in seeds and oils, such as walnuts and flaxseed, and many common vegetable oils.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Amenorrheic,Absence of menstruation.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Anabolic steroid,Compound made from testosterone or another hormone that acts on hormone receptors to produce increases in muscle size or strength.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Anemia,A condition of poor iron status.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Anorexia,"A loss of appetite or the conscious decision to avoid eating, often leading to dangerously low body weight and/or malnourishment.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Banned,A dietary supplement that may be prohibited from use in a specific sport or sport league. These supplements may not be illegal or prohibited at all times during the year.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Beriberi,"A thiamine deficiency that can result in inflammation or degeneration of the heart and nerves, peripheral neuropathy, and impaired motor function.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Beta-carotene,The red-orange pigment found in vegetables and fruits that is converted to vitamin A in the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Biologically active,The form in which a vitamin must be to exert an effect within the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Biologically inactive,Any form of vitamin that cannot exert its effect within the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Branched chain amino acids  (BCAAs),"The three essential amino acids (leucine, isoleucine, and valine) that are abundant in skeletal muscle tissue and named for their branchlike structures.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Caffeine anhydrous,A highly concentrated caffeine powder made from the seeds and leaves of coffee plants.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Code of Federal Regulations,"Describes the laws and regulations for dietary supplements, including how supplements are labeled, manufactured, and brought to or removed from market.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Creatine monohydrate,"The most common, and likely most effective, form of creatine available as a dietary supplement.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Creatine,"Molecule made from amino acids and used as a dietary supplement to facilitate adenosine triphosphate regeneration for improved training capacity, strength, power, and muscle mass.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Daily value (DV),"Amount of a nutrient recommended to be consumed each day to maintain good health. Based on a 2,000-calorie diet for those ages 4 years and older.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Dermatitis,"Inflammation of the skin, rashes, excessive dryness, and/or blistering.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Dietary Supplement Health and Education Act of 1994,The primary legislation of the U.S. government regulating dietary supplements.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Dietary supplement,"A product (other than tobacco) intended to supplement the diet that bears or contains one or more of the following dietary ingredients: vitamin; mineral; herb or other botanical; amino acid; substance used by man to supplement the diet by increasing the total dietary intake; or concentrate, metabolite, constituent, extract, or combination of any previously described ingredient.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,DMAA,Dimethylamylamine; a stimulant and amphetamine once legal for use as a dietary supplement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Docosahexaenoic acid (DHA),"A type of omega-3 fatty acid that is found in seafood, such as fish and fish oils.",Vocab,NASM CPT
